;idRoute;position;title;category;isActive;photos;createdAt;description;idIncident
16;e5llivtyMROSHwfuppj5;-79.2007157,-3.9876452;Invasión 2;Ciclovía obstruida;Activo;https://firebasestorage.googleapis.com/v0/b/freemove-aa0c5.appspot.com/o/incidentPhotos%2FCAP1622151132228875078.jpg?alt=media&token=a73fd333-21cd-47ee-8952-26fdbda7c44c;2022-11-26 13:08:04.582000+00:00;Persona obstruye ciclovia, sector del colegio técnico. ;GhSXwh1rioUhfZte7QIf
17;U3mOfbYIpbYgCDCpIdAJ;-79.2042294,-3.9902571;Invasión ;Ciclovía obstruida;Activo;https://firebasestorage.googleapis.com/v0/b/freemove-aa0c5.appspot.com/o/incidentPhotos%2FCAP3483764687572702995.jpg?alt=media&token=59911382-c27c-4db1-bf59-cd978833cdbb;2022-11-30 22:31:36.431000+00:00;;GruikXBXFBoWXJrfdd7Y
18;m8XvnMG6NmT0TVRUs1kk;-79.2037213,-4.0024353;Accidente: 26-11-2022;Accidente;Activo;https://firebasestorage.googleapis.com/v0/b/freemove-aa0c5.appspot.com/o/incidentPhotos%2FCAP80559662603749970.jpg?alt=media&token=5472050d-85da-4193-9157-6208c6510736;2022-11-26 14:50:48.594000+00:00;;K6RDn6oxbKZsX6psk3E7
19;e5llivtyMROSHwfuppj5;-79.2007157,-3.9876452;Invasión 2;Ciclovía obstruida;Activo;https://firebasestorage.googleapis.com/v0/b/freemove-aa0c5.appspot.com/o/incidentPhotos%2FCAP1622151132228875078.jpg?alt=media&token=a73fd333-21cd-47ee-8952-26fdbda7c44c;2022-11-26 13:08:03.161000+00:00;Persona obstruye ciclovia, sector del colegio técnico. ;KTqjhDKQza31r5a7znEF
20;SGuHuTZKA6tVqxbaGhSU;-79.2010261,-3.9989232;Invasión ;Accidente;Activo;https://firebasestorage.googleapis.com/v0/b/freemove-aa0c5.appspot.com/o/incidentPhotos%2FCAP171574719610365738.jpg?alt=media&token=2daddf55-9358-4430-accb-a9a2cade5e82;2022-11-26 16:29:20.511000+00:00;;NMUDJ3s0YeHV9F2Ncj1U
21;SGuHuTZKA6tVqxbaGhSU;-79.2010261,-3.9989232;Invasión ;Accidente;Activo;https://firebasestorage.googleapis.com/v0/b/freemove-aa0c5.appspot.com/o/incidentPhotos%2FCAP171574719610365738.jpg?alt=media&token=413596e9-8437-4fc2-b667-5113a5249ec5;2022-11-26 16:29:23.192000+00:00;;PKw4Emm8rsJreF01aD9G
22;AAREuNQKZ4QHctIQWlsa;-79.200853,-4.0049957;Infraccion;Accidente;Activo;https://firebasestorage.googleapis.com/v0/b/freemove-aa0c5.appspot.com/o/incidentPhotos%2FCAP3613919327746254139.jpg?alt=media&token=a7f43e1e-7cae-494a-91f7-3b4f27f18c7a;2022-12-01 21:11:07.127000+00:00;;RWDcgEGNLxWI1nyuDiQW
23;st0bKofr7VxejKb0ytEn;-79.1984766,-4.0022615;Moto estacionada ;Accidente;Activo;https://firebasestorage.googleapis.com/v0/b/freemove-aa0c5.appspot.com/o/incidentPhotos%2FCAP3046488059745425582.jpg?alt=media&token=62dfbcd3-c2f3-42da-818c-b59dd632dd75;2022-12-01 23:28:00.655000+00:00;;SCq28VHafFH3CE9kw5ky
24;wgJ6itTlMTjjcuGPXw30;-79.2010817,-3.9990923;Accidente: 03-12-2022;Accidente;Activo;;2022-12-03 21:59:46.207000+00:00;;WXJEtSGqRZsMkK8R9Krm
25;e5llivtyMROSHwfuppj5;-79.1985408,-3.9942864;Invasión 3;Ciclovía obstruida;Activo;https://firebasestorage.googleapis.com/v0/b/freemove-aa0c5.appspot.com/o/incidentPhotos%2FCAP4812145433805213843.jpg?alt=media&token=4ad16e33-d931-4c00-b583-35ff45f4f856;2022-11-26 13:14:04.445000+00:00;Vehículo parqueado sobre la ciclovia. ;XVBdMtCQnOkoPOCCV8IA
26;U3mOfbYIpbYgCDCpIdAJ;-79.2039619,-3.9980759;Invasión ;Ciclovía obstruida;Activo;https://firebasestorage.googleapis.com/v0/b/freemove-aa0c5.appspot.com/o/incidentPhotos%2FCAP4372864650807789376.jpg?alt=media&token=45b73255-d950-4ee7-a247-d7f36fe9c2af;2022-11-30 22:36:41.707000+00:00;;Y2S5yH66CeluTEBDLl7v
27;dzT3MWw9RIVa9KLUJo42;-79.1987374,-3.993768;Invasión de ciclovía ;Accidente;Activo;https://firebasestorage.googleapis.com/v0/b/freemove-aa0c5.appspot.com/o/incidentPhotos%2FCAP7108783606517996516.jpg?alt=media&token=f576aa12-37c9-492d-a52f-d1a67f9614ed;2022-11-26 16:14:16.837000+00:00;;cKg1zB19lftPb8nhHzzo
28;e5llivtyMROSHwfuppj5;-79.1985408,-3.9942864;Invasión 3;Ciclovía obstruida;Activo;https://firebasestorage.googleapis.com/v0/b/freemove-aa0c5.appspot.com/o/incidentPhotos%2FCAP4812145433805213843.jpg?alt=media&token=7d1ab039-2a34-4a09-939b-bf131b662e98;2022-11-26 13:14:02.327000+00:00;Vehículo parqueado sobre la ciclovia. ;chfGcxzGim3BKndH8uaP
29;xnFzRTIJWOI4ya7b5mQj;-79.204224,-3.9944235;Invasion;Ciclovía obstruida;Activo;https://firebasestorage.googleapis.com/v0/b/freemove-aa0c5.appspot.com/o/incidentPhotos%2FCAP3860186757819999960.jpg?alt=media&token=b1cd8bde-98c7-4ed1-a250-4d8d7be54dc6;2022-11-30 20:18:09.971000+00:00;Carro de comida en ciclovía ;dNYeQpbOuBynISuhioqJ
30;kkXsPpgcdcSiyBMAcH5Q;-79.2101895,-3.979023;Accidente: 24-11-2022;Accidente;Activo;https://firebasestorage.googleapis.com/v0/b/freemove-aa0c5.appspot.com/o/incidentPhotos%2FCAP3853264249923722885.jpg?alt=media&token=0c98ecbd-dbdd-4c64-8fd1-8edee7302714;2022-11-24 08:29:19.226000+00:00;;dp075Od5aOG1TUYNx2Gw
31;HcXyIfSD563SoGzot4Rr;-79.2005364,-3.9877099;Invasión #3;Ciclovía obstruida;Activo;https://firebasestorage.googleapis.com/v0/b/freemove-aa0c5.appspot.com/o/incidentPhotos%2FCAP7083605888367862359.jpg?alt=media&token=cd966640-b160-403b-a139-0dbbe7dfd838;2022-11-26 13:07:38.067000+00:00;Carrito comercial, circula por la ciclovía, sector técnico.;eC4judanuFXIjiCKVVo5
32;HcXyIfSD563SoGzot4Rr;-79.201345,-4.0065133;Invasión #1;Ciclovía obstruida;Activo;https://firebasestorage.googleapis.com/v0/b/freemove-aa0c5.appspot.com/o/incidentPhotos%2FCAP1170489141780254834.jpg?alt=media&token=c33641b9-45d5-41b5-8bfd-881da913b2b9;2022-11-26 12:38:09.726000+00:00;Carrito recolector de basura invade la ciclovía ;i5ab7t9DxKLt59FuDh3T
33;HcXyIfSD563SoGzot4Rr;-79.201345,-4.0065133;Invasión #1;Ciclovía obstruida;Activo;https://firebasestorage.googleapis.com/v0/b/freemove-aa0c5.appspot.com/o/incidentPhotos%2FCAP1170489141780254834.jpg?alt=media&token=1efbab11-df36-48ce-a658-e836159e0f64;2022-11-26 12:38:08.658000+00:00;Carrito recolector de basura invade la ciclovía ;jD6FjUow5eK3bWTMCNWS
34;HcXyIfSD563SoGzot4Rr;-79.201345,-4.0065133;Invasión #1;Ciclovía obstruida;Activo;https://firebasestorage.googleapis.com/v0/b/freemove-aa0c5.appspot.com/o/incidentPhotos%2FCAP1170489141780254834.jpg?alt=media&token=c33641b9-45d5-41b5-8bfd-881da913b2b9;2022-11-26 12:38:10.040000+00:00;Carrito recolector de basura invade la ciclovía ;lL8y0iZeP3V0wW0gBHkl
35;hrGn0UXym8Y4822qAzlW;-79.2035606,-4.0029576;Invasión ;Ciclovía obstruida;Activo;https://firebasestorage.googleapis.com/v0/b/freemove-aa0c5.appspot.com/o/incidentPhotos%2FCAP1343137256316311200.jpg?alt=media&token=8672840b-87a0-49f0-84c5-e5dff319fedd;2022-11-30 22:41:02.339000+00:00;;loYaEuzLmZZMGAGqG1Zn
36;HcXyIfSD563SoGzot4Rr;-79.2011608,-3.9861911;Invasión #2;Ciclovía obstruida;Activo;https://firebasestorage.googleapis.com/v0/b/freemove-aa0c5.appspot.com/o/incidentPhotos%2FCAP168976622300661520.jpg?alt=media&token=fecb5dd3-d857-4335-bb6b-3dee0237861c;2022-11-26 13:05:12.658000+00:00;Automóvil particular se eefaciona en la ciclovía ;mheVwQJjIPVUyMNcknBo
37;m8XvnMG6NmT0TVRUs1kk;-79.2037213,-4.0024353;Accidente: 26-11-2022;Accidente;Activo;https://firebasestorage.googleapis.com/v0/b/freemove-aa0c5.appspot.com/o/incidentPhotos%2FCAP80559662603749970.jpg?alt=media&token=3e83d5d8-806a-4bcb-8a28-860ca2eb4b33;2022-11-26 14:50:51.048000+00:00;;nTOag4Mx2xgkbjT8PqIh
38;e5llivtyMROSHwfuppj5;-79.2013669,-3.9961203;Invasión 4;Ciclovía obstruida;Activo;https://firebasestorage.googleapis.com/v0/b/freemove-aa0c5.appspot.com/o/incidentPhotos%2FCAP6860625265941920646.jpg?alt=media&token=e84baf83-08a5-472b-9798-0d4e6718605f;2022-11-26 13:19:49.073000+00:00;Motocicleta invadiendo ciclovia. ;qInH0ZcqxgaK36sjUIw0
39;wCLkcSNJbRHI8MkbyJ3V;-79.1982145,-3.9967591;Accidente: 03-12-2022;Accidente;Activo;;2022-12-03 22:17:39.247000+00:00;;qoHkOst6BZ2MXJg8P2Qg
40;DfBWV67ZyYCmUe1tTgZV;-79.2012187,-4.0098018;Obstáculo ;Accidente;Activo;;2022-12-03 21:52:55.876000+00:00;Rama en ciclovía ;suwkNztLGw30OXOlQHQk
41;HcXyIfSD563SoGzot4Rr;-79.2012098,-4.0066474;Invasión #1;Ciclovía obstruida;Activo;https://firebasestorage.googleapis.com/v0/b/freemove-aa0c5.appspot.com/o/incidentPhotos%2FCAP423646700273008951.jpg?alt=media&token=cfd0b8cb-f340-4050-bfd0-fca6c2bd7f5d;2022-11-26 12:37:30.294000+00:00;Carro recolector de basura , invade la ciclovía ;t4Ya3EjsO7vUEX7mO7HY
42;HcXyIfSD563SoGzot4Rr;-79.20064,-3.9877165;Invasión #4;Ciclovía obstruida;Activo;https://firebasestorage.googleapis.com/v0/b/freemove-aa0c5.appspot.com/o/incidentPhotos%2FCAP4692160853088775621.jpg?alt=media&token=47d2c486-cdcf-42a8-92c3-63a4f2f84df3;2022-11-26 13:13:49.563000+00:00;Carro de carga pesada , invade la ciclovía para descargar mercadería, sector la pileta;tTUrvUxdIImfEwwBCEhm
43;SGuHuTZKA6tVqxbaGhSU;-79.2010261,-3.9989232;Invasión ;Accidente;Activo;https://firebasestorage.googleapis.com/v0/b/freemove-aa0c5.appspot.com/o/incidentPhotos%2FCAP171574719610365738.jpg?alt=media&token=413596e9-8437-4fc2-b667-5113a5249ec5;2022-11-26 16:29:23.370000+00:00;;u903M3I96EIc2Itzzx7B
44;VfoDyg6iOUyjxZZGdp2U;-79.195299,-3.990168;A;Accidente;Activo;https://firebasestorage.googleapis.com/v0/b/freemove-aa0c5.appspot.com/o/incidentPhotos%2FCAP7995707834465735983.jpg?alt=media&token=809f1383-e86c-4fd2-a307-d43298b46f39;2022-11-24 16:14:09.145000+00:00;B;uVzrNps37hOiK646Gam1
45;e5llivtyMROSHwfuppj5;-79.201185,-3.9861658;Invasión ;Accidente;Activo;https://firebasestorage.googleapis.com/v0/b/freemove-aa0c5.appspot.com/o/incidentPhotos%2FCAP991604098190308194.jpg?alt=media&token=03270df8-97dc-4e94-a7c8-bde4ca7f6390;2022-11-26 13:05:05.376000+00:00;Vehículo estacionado sobre la ciclovia, sector el técnico. ;uoQQ2gpXVRAytpGhT8f7
46;HcXyIfSD563SoGzot4Rr;-79.2012098,-4.0066474;Invasión #1;Ciclovía obstruida;Activo;https://firebasestorage.googleapis.com/v0/b/freemove-aa0c5.appspot.com/o/incidentPhotos%2FCAP423646700273008951.jpg?alt=media&token=be517113-d22b-4561-a367-f2dabae816a6;2022-11-26 12:37:32.352000+00:00;Carro recolector de basura , invade la ciclovía ;w1rRSogFBku6Fjly0hCj
47;0undJ78yDgaMJWMiteVI;-79.2025423,-3.9807856;Invasión ;Accidente;Activo;https://firebasestorage.googleapis.com/v0/b/freemove-aa0c5.appspot.com/o/incidentPhotos%2FCAP672894164710908415.jpg?alt=media&token=4777d2af-bbdc-4327-acb4-da5638b2d9f4;2022-11-28 11:50:59.916000+00:00;;xR1b4FNEG2EqiHRxGuys
48;HUaHVeFiRIsn0ayIUkIn;-79.2008168,-4.0033427;Invasion;Ciclovía obstruida;Activo;https://firebasestorage.googleapis.com/v0/b/freemove-aa0c5.appspot.com/o/incidentPhotos%2FCAP6330694468033105378.jpg?alt=media&token=2f7ab5c1-e2bc-41d4-84cc-a00fe30598a6;2022-11-30 20:41:42.150000+00:00;Parqueado carro;ySr4tueqmbLC5L3C3bcT
